source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000021-30001D0P1142	Homo sapiens	Blood plasma	not available	not available	not available	1734917-30001142_D0	11	not applicable	blood plasma	PAD000021-r00011-30001D0P1142	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-200289	Homo sapiens	Blood plasma	not available	not available	not available	not available	12	not applicable	blood plasma	PAD000021-r00012-200289	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001D0P1005	Homo sapiens	Blood plasma	not available	not available	not available	1509768-30001005_D0	13	not applicable	blood plasma	PAD000021-r00013-30001D0P1005	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1174	Homo sapiens	Blood plasma	not available	not available	not available	1761508-30001174_A0	14	not applicable	blood plasma	PAD000021-r00014-30001A0P1174	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1187	Homo sapiens	Blood plasma	not available	not available	not available	1786108-30001187_A0	15	not applicable	blood plasma	PAD000021-r00015-30001A0P1187	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1021	Homo sapiens	Blood plasma	not available	not available	not available	1510088-30001021_A0	16	not applicable	blood plasma	PAD000021-r00016-30001A0P1021	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1022	Homo sapiens	Blood plasma	not available	not available	not available	1510167-30001022_A0	17	not applicable	blood plasma	PAD000021-r00017-30001A0P1022	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1046	Homo sapiens	Blood plasma	not available	not available	not available	1270634-30001046_A0	18	not applicable	blood plasma	PAD000021-r00018-30001A0P1046	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1072	Homo sapiens	Blood plasma	not available	not available	not available	1451615-30001072_A0	19	not applicable	blood plasma	PAD000021-r00019-30001A0P1072	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001D0P1086	Homo sapiens	Blood plasma	not available	not available	not available	1515477-30001086_D0	20	not applicable	blood plasma	PAD000021-r00020-30001D0P1086	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1098	Homo sapiens	Blood plasma	not available	not available	not available	1586130-30001098_A0	21	not applicable	blood plasma	PAD000021-r00021-30001A0P1098	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1115	Homo sapiens	Blood plasma	not available	not available	not available	1647921-30001115_A0	22	not applicable	blood plasma	PAD000021-r00022-30001A0P1115	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1144	Homo sapiens	Blood plasma	not available	not available	not available	1725994-30001144_A0	23	not applicable	blood plasma	PAD000021-r00023-30001A0P1144	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1153	Homo sapiens	Blood plasma	not available	not available	not available	1734909-30001153_A0	24	not applicable	blood plasma	PAD000021-r00024-30001A0P1153	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1005	Homo sapiens	Blood plasma	not available	not available	not available	1749198-30001005_A0	25	not applicable	blood plasma	PAD000021-r00025-30001A0P1005	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1176	Homo sapiens	Blood plasma	not available	not available	not available	1767241-30001176_A0	26	not applicable	blood plasma	PAD000021-r00026-30001A0P1176	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-200170	Homo sapiens	Blood plasma	not available	not available	not available	not available	27	quality control sample	blood plasma	PAD000021-r00027-200170	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-60-001-D0-P1-289	Homo sapiens	Blood plasma	not available	not available	not available	2153147-60001289_D0	28	not applicable	blood plasma	PAD000021-r00028-60-001-D0-P1-289	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-30001A0P1023	Homo sapiens	Blood plasma	not available	not available	not available	1510273-30001023_A0	29	not applicable	blood plasma	PAD000021-r00029-30001A0P1023	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-60-001-D0-P1-240	Homo sapiens	Blood plasma	not available	not available	not available	2067323-60001240_D0	30	not applicable	blood plasma	PAD000021-r00030-60-001-D0-P1-240	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-60-001-D0-P1-229	Homo sapiens	Blood plasma	not available	not available	not available	2054326-60001229_D0	31	not applicable	blood plasma	PAD000021-r00031-60-001-D0-P1-229	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-200289	Homo sapiens	Blood plasma	not available	not available	not available	not available	12	not applicable	blood plasma	PAD000021-r00032-200289	protein expression profiling by aptamer array	2	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
