source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000041-WEAR_7006_V8	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	20	not applicable	blood plasma	PAD000041-r00020-WEAR_7006_V8	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V9	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	21	not applicable	blood plasma	PAD000041-r00021-WEAR_7006_V9	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V10	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	22	not applicable	blood plasma	PAD000041-r00022-WEAR_7006_V10	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V11	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	23	not applicable	blood plasma	PAD000041-r00023-WEAR_7006_V11	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V12	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	24	not applicable	blood plasma	PAD000041-r00024-WEAR_7006_V12	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V13	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	25	not applicable	blood plasma	PAD000041-r00025-WEAR_7006_V13	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V14	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	26	not applicable	blood plasma	PAD000041-r00026-WEAR_7006_V14	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V1	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	27	not applicable	blood plasma	PAD000041-r00027-WEAR_7009_V1	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V2	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	28	not applicable	blood plasma	PAD000041-r00028-WEAR_7009_V2	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V3	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	29	not applicable	blood plasma	PAD000041-r00029-WEAR_7009_V3	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V4	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	30	not applicable	blood plasma	PAD000041-r00030-WEAR_7009_V4	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V5	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	31	not applicable	blood plasma	PAD000041-r00031-WEAR_7009_V5	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V6	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	32	not applicable	blood plasma	PAD000041-r00032-WEAR_7009_V6	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_CRS	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	33	not applicable	blood plasma	PAD000041-r00033-WEAR_7009_CRS	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V7	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	34	not applicable	blood plasma	PAD000041-r00034-WEAR_7009_V7	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V8	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	35	not applicable	blood plasma	PAD000041-r00035-WEAR_7009_V8	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V9	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	36	not applicable	blood plasma	PAD000041-r00036-WEAR_7009_V9	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V11	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	37	not applicable	blood plasma	PAD000041-r00037-WEAR_7009_V11	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V12	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	38	not applicable	blood plasma	PAD000041-r00038-WEAR_7009_V12	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V13	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	39	not applicable	blood plasma	PAD000041-r00039-WEAR_7009_V13	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7009_V14	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	40	not applicable	blood plasma	PAD000041-r00040-WEAR_7009_V14	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
