source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[instrument]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[fraction identifier]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[olink lot number]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PAD000041-f01-r00011-WEAR_7001_V14	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	11	not available	experimental sample	blood plasma	PAD000041-f01-r00011-WEAR_7001_V14	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00012-WEAR_7001_V15	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	12	not available	experimental sample	blood plasma	PAD000041-f01-r00012-WEAR_7001_V15	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00013-WEAR_7006_V1	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	13	not available	experimental sample	blood plasma	PAD000041-f01-r00013-WEAR_7006_V1	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00014-WEAR_7006_V2	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	14	not available	experimental sample	blood plasma	PAD000041-f01-r00014-WEAR_7006_V2	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00015-WEAR_7006_V3	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	15	not available	experimental sample	blood plasma	PAD000041-f01-r00015-WEAR_7006_V3	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00016-WEAR_7006_V4	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	16	not available	experimental sample	blood plasma	PAD000041-f01-r00016-WEAR_7006_V4	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00017-WEAR_7006_V5	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	17	not available	experimental sample	blood plasma	PAD000041-f01-r00017-WEAR_7006_V5	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00018-WEAR_7006_V6	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	18	not available	experimental sample	blood plasma	PAD000041-f01-r00018-WEAR_7006_V6	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00019-WEAR_7006_V7	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	19	not available	experimental sample	blood plasma	PAD000041-f01-r00019-WEAR_7006_V7	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00020-WEAR_7006_V8	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	20	not available	experimental sample	blood plasma	PAD000041-f01-r00020-WEAR_7006_V8	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00021-WEAR_7006_V9	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	21	not available	experimental sample	blood plasma	PAD000041-f01-r00021-WEAR_7006_V9	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00022-WEAR_7006_V10	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	22	not available	experimental sample	blood plasma	PAD000041-f01-r00022-WEAR_7006_V10	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00023-WEAR_7006_V11	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	23	not available	experimental sample	blood plasma	PAD000041-f01-r00023-WEAR_7006_V11	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00024-WEAR_7006_V12	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	24	not available	experimental sample	blood plasma	PAD000041-f01-r00024-WEAR_7006_V12	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00025-WEAR_7006_V13	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	25	not available	experimental sample	blood plasma	PAD000041-f01-r00025-WEAR_7006_V13	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00026-WEAR_7006_V14	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	26	not available	experimental sample	blood plasma	PAD000041-f01-r00026-WEAR_7006_V14	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00027-WEAR_7009_V1	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	27	not available	experimental sample	blood plasma	PAD000041-f01-r00027-WEAR_7009_V1	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00028-WEAR_7009_V2	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	28	not available	experimental sample	blood plasma	PAD000041-f01-r00028-WEAR_7009_V2	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00029-WEAR_7009_V3	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	29	not available	experimental sample	blood plasma	PAD000041-f01-r00029-WEAR_7009_V3	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00030-WEAR_7009_V4	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	30	not available	experimental sample	blood plasma	PAD000041-f01-r00030-WEAR_7009_V4	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00031-WEAR_7009_V5	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	31	not available	experimental sample	blood plasma	PAD000041-f01-r00031-WEAR_7009_V5	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00032-WEAR_7009_V6	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	32	not available	experimental sample	blood plasma	PAD000041-f01-r00032-WEAR_7009_V6	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00033-WEAR_7009_CRS	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	33	not available	experimental sample	blood plasma	PAD000041-f01-r00033-WEAR_7009_CRS	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
