path	platform_family	rows	added_columns	source_rule
datasets/PAD000033/PAD000033.sdrf.tsv	olink	211	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000036/PAD000036.sdrf.tsv	somascan	847	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000037/PAD000037.sdrf.tsv	olink	12	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000041/PAD000041.sdrf.tsv	olink	434	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000001/PAD000001.sdrf.tsv	olink	20	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000002/PAD000002.sdrf.tsv	olink	136	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000003/PAD000003.sdrf.tsv	somascan	241	characteristics[ancestry category];comment[panel name];comment[dilution]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000004/PAD000004.sdrf.tsv	olink	192	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000005/PAD000005.sdrf.tsv	olink	92	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000006/PAD000006.sdrf.tsv	olink	92	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000008/PAD000008.sdrf.tsv	olink	616	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000009/PAD000009.sdrf.tsv	olink	110	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000010/PAD000010.sdrf.tsv	somascan	52	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000013/PAD000013.sdrf.tsv	somascan	62	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000014/PAD000014.sdrf.tsv	somascan	236	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000016/PAD000016.sdrf.tsv	olink	246	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000019/PAD000019.sdrf.tsv	olink	124	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000020/PAD000020.sdrf.tsv	somascan	120	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000021/PAD000021.sdrf.tsv	somascan	5734	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000022/PAD000022.sdrf.tsv	olink	94	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000026/PAD000026.sdrf.tsv	somascan	96	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000030/PAD000030.sdrf.tsv	olink	335	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000033/PAD000033.sdrf.tsv	olink	211	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000036/PAD000036.sdrf.tsv	somascan	847	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000037/PAD000037.sdrf.tsv	olink	12	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
sandbox/PAD000041/PAD000041.sdrf.tsv	olink	434	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
